amortize, pay off slowly, 1
connubial, marital, 0
scion, descendent, 1
bucolic, pastoral, 1
andiron, fireplace irons, 1
whiffletree, top of carriage, 1
miff, annoy, 0
bawdy, lewd, 1
unwitting, unknowing, 0
gimlet, tool for boring holes, 0
rectilinear, moving in straight lines, 0
onus, burden, 1
lout, dumb person, 0
palmistry, palm reading, 1
pied, piebald, 0
prelate, high member of clergy, 0
aggrandize, dramaticize, 1
bedevil, torment, 0
conflation, merging of two sets, 0
seine, fish net, 0
wiseacre, wise or false wise, 1
apothecary, pharmacist, 1
sedition, rebellion, 0
myopia, near sighted, 1
martin, swift songbird, 1
sacerdotal, priestly, 1
cadge, beg, 1
concupiscence, lust, 0
Greene-lolling, lie or stand lazy, 0
wardroom, quarters, 1
Crane-crone, old thin ugly woman, 0
apogee, highest point, 1
svelte, slender, 1
passbook, bank book, 0
mantilla, scarf over head of spanish woman, 1
attenuate, thin, 0
primrose, little flower, 0
poop, back part of ship, 0
vernal, green, 1
disconsolate, unhappy, 1
castigate, chastize, 0
Conrad-offing, distance, 0
enervate, deprive of vitality, 1
megalopolis, large city, 0
repartee, witty conversation, 0
swarthy, dark skin, 1
Conrad-cantankerous, bad-tempered, 1
woodbine, climbing flowering plant, 0
breakwater, wall against waves, 0
sangfroid, cool, 1
freshet, little stream, 1
phenobarbitol, barbiturate, 0
baten, secure, 1
peptic, digestive, 0
vestige, trace, 0
pharisee, jew, 0
redound, contribute to, 0
canard, rumor, 1
bathos, anti-climax, 0
mulct, extract money, 0
Conrad-brigantine, two masted ship, 0
manse, living place of priest, 1
sampan, asian skiff, 0
pyrite, shiny yellow mineral, 0
risibility, ability to laugh, 1
carillon, ringing of bells, 1
overture, greetings, 1
facile, without revealing effort, 0
festoon, bridge, 1
piccalilli, relish, 0
Milton-reprobate, unprincipled person, 1
fortissimo, loud, 0
ware, for sale, 1
Milton-attrite, worn by rubbing, 0
divest, de-clothe, 1
old maid, old virgin, 1
libretto, text of opera, 0
Greene-ordure, exrement, 0
Ford-refectory, place for meals, 1
culvert, stream under roadway, 1
mercerize, harden, 0
Greene-carrion, dead flesh, 1
topaz, green, 0
chrysolis, cocoon of butterfly, 1
howitzer, german cannon, 0
stevedore, ship chandler, 1
dint, exertion, 0
Crane-reconnoiter, verb of reconnaissance, 1
missal, books containing catholic mass, 1
slag, molten waste, 0
chamber music, music for small room, 0
quietus, death, 0
lotus, plant of forgetfulness, 1
ramify, branch out, 1
expropriate, seize for public use, 0
intone, make tone, 1
musk melon, melon, 1
dastard, coward, 0
philharmonic, devoted to music, 1
cardigan, sweater, 1
somnambulism, sleep walking, 1
confute, refute as false, 0
jalousie, shutter of slats, 0
broach, bring forth, 0
incorrigible, uncorrectable, 1
gulch, dried riverbed, 1
hyacinth, flower, 0
sycophant, fanatical, 1
Conrad-punctiliously, meticulous, 0
Melville-nettled, annoy, 0
luxuriant, growth, 0
ptomaine, unpleasant odor from decay, 0
pelt, skin hide, 1
sundry, various, 1
papist, roman catholic, 0
rattan, palm, 1
coeval, a contemporary, 1
pilaf, indian dish of rice, 1
Greene-guichet, teller window, 1
giblet, internals of fowl, 0
lineal, geneology, 0
adroit, nimble, 1
inexorable, irreversible, 0
codicil, appendix to will, 1
colander, large strainer, 1
yeoman, petty officer, 0
muckraking, searching out dirty info to smear, 0
outcrop, parts of earth in rock, 0
casuistry, false reasoning, 0
lapidary, worker in gems, 1
paprika, powdered spice, 1
doxology, hymn of praise, 0
box elder, kind of maple, 0
kowtow, subserviance, 1
slapsided, board siding, 0
tine, prong, 1
hors de combat, away from battle, 0
Melville-potations, drink, 0
Greene-sidled, to creep, 1
petrology, study of minerals, 0
obsequies, funeral rites, 1
